val_mcc,learning_rate,weight_decay,stage_type,pooling,mp_layers,layers_pre_mp,layers_post_mp,layer_type,layer_fingerprints,hidden_channels,has_l2norm,has_bn,fingerprint_type,conv_dropout,conv_aggr,act
0.795122147,0.001,0.0005,skipconcat,mean,2,2,3,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_01
0.810091019,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.806547582,0.001,0.0005,stack,mean,2,1,3,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_025
0.784935176,0.001,0.0005,stack,mean,3,3,4,sageconv,1,512,False,True,morgan2,0.6,sum,lrelu_025
0.795801759,0.001,0.0005,skipsum,mean,3,1,3,sageconv,1,256,False,True,morgan2,0.3,max,lrelu_01
0.740756631,0.001,0.0005,stack,add,1,2,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.790211976,0.001,0.0005,skipsum,mean,2,1,3,sageconv,1,256,False,True,morgan2,0,sum,lrelu_025
0.773046494,0.001,0.0005,skipconcat,add,3,3,3,sageconv,1,512,False,True,morgan2,0.6,sum,relu
0.788404047,0.001,0.0005,skipsum,mean,2,2,3,sageconv,1,256,False,True,morgan2,0,mean,lrelu_01
0.803964913,0.001,0.0005,stack,mean,1,4,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.757359087,0.001,0.0005,skipconcat,mean,2,4,3,sageconv,1,512,True,True,morgan2,0.6,max,prelu
0.773937404,0.001,0.0005,skipconcat,mean,2,3,3,sageconv,1,256,True,True,morgan2,0.6,softmax,prelu
0.796244085,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0,max,relu
0.789066195,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.795380533,0.001,0.0005,stack,mean,1,4,3,sageconv,1,256,False,True,morgan2,0,mean,lrelu_05
0.789066195,0.001,0.0005,stack,mean,1,5,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.805100143,0.001,0.0005,stack,mean,3,1,3,sageconv,1,256,False,True,morgan2,0.3,softmax,prelu
0.79975903,0.001,0.0005,stack,mean,2,1,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.800810277,0.001,0.0005,stack,mean,1,1,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.78253597,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0.3,softmax,prelu
0.774323463,0.001,0.0005,stack,mean,1,5,5,sageconv,1,512,False,True,morgan2,0,max,prelu
0.794987381,0.001,0.0005,stack,mean,3,1,2,sageconv,1,256,False,True,morgan2,0.3,softmax,swish
0.761558831,0.001,0.0005,stack,max,2,3,3,sageconv,1,512,False,False,morgan2,0,sum,lrelu_01
0.808412373,0.001,0.0005,stack,mean,2,3,3,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.743336499,0.001,0.0005,stack,max,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.80406183,0.001,0.0005,stack,mean,3,2,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.798861325,0.001,0.0005,stack,mean,3,5,5,sageconv,1,256,False,True,morgan2,0.6,max,relu
0.78253597,0.001,0.0005,skipsum,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.6,max,prelu
0.779927433,0.001,0.0005,stack,add,3,2,3,sageconv,1,512,False,True,morgan2,0.3,max,prelu
0.795380533,0.001,0.0005,stack,mean,2,3,3,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.801181734,0.001,0.0005,stack,mean,3,2,3,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_01
0.803339958,0.001,0.0005,stack,mean,3,2,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.797971606,0.001,0.0005,skipsum,mean,3,4,5,sageconv,1,256,False,True,morgan2,0.3,max,relu
0.677426934,0.001,0.0005,stack,mean,2,5,0,sageconv,1,512,False,False,morgan2,0.6,mean,lrelu_05
0.789407611,0.001,0.0005,stack,mean,3,3,4,sageconv,1,512,False,True,morgan2,0,sum,relu
0.798722327,0.001,0.0005,skipsum,mean,1,4,2,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_05
0.798966527,0.001,0.0005,stack,mean,3,2,4,sageconv,1,512,False,True,morgan2,0,mean,prelu
0.789043605,0.001,0.0005,stack,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.3,softmax,relu
0.716894388,0.001,0.0005,skipsum,max,2,3,3,sageconv,1,256,True,False,morgan2,0,mean,lrelu_05
0.753852844,0.001,0.0005,skipsum,max,1,4,3,sageconv,1,256,True,True,morgan2,0.3,max,lrelu_05
0.768735766,0.001,0.0005,skipconcat,mean,2,4,3,sageconv,1,512,True,True,morgan2,0.6,max,prelu
0.626327455,0.001,0.0005,stack,add,2,1,3,sageconv,1,256,True,False,morgan2,0.3,mean,lrelu_05
0.760542929,0.001,0.0005,stack,max,3,3,5,sageconv,1,512,True,False,morgan2,0.3,max,lrelu_01
0.739545345,0.001,0.0005,skipconcat,mean,1,5,3,sageconv,1,512,True,False,morgan2,0.6,sum,lrelu_05
0.758306742,0.001,0.0005,skipsum,add,2,2,1,sageconv,1,512,False,True,morgan2,0,softmax,swish
0.76848948,0.001,0.0005,skipsum,max,2,2,2,sageconv,1,512,False,False,morgan2,0.6,softmax,relu
0.794619799,0.001,0.0005,stack,max,3,4,2,sageconv,1,256,False,True,morgan2,0,sum,relu
0.743840575,0.001,0.0005,skipsum,max,2,3,3,sageconv,1,512,False,True,morgan2,0.6,max,lrelu_01
0.756713927,0.001,0.0005,skipconcat,max,3,5,0,sageconv,1,256,False,True,morgan2,0,sum,relu
0.754504323,0.001,0.0005,skipsum,max,3,5,3,sageconv,1,256,False,True,morgan2,0.6,sum,relu
0.750537872,0.001,0.0005,skipconcat,max,1,1,4,sageconv,1,512,False,True,morgan2,0.6,softmax,prelu
0.7459203,0.001,0.0005,skipsum,max,2,3,2,sageconv,1,256,True,True,morgan2,0.3,softmax,swish
